Date,Open,High,Low,Close,Volume
2020-01-02 09:30:00,60.504,60.944,60.354,60.563,16580
2020-01-02 09:35:00,60.748,60.834,60.612,60.612,12000
2020-01-02 09:40:00,60.828,60.975,60.828,60.975,6000
2020-01-02 09:45:00,60.879,60.879,60.585,60.585,2500
2020-01-02 09:50:00,60.794,60.93,60.794,60.884,8500
2020-01-02 09:55:00,60.802,61.064,60.802,60.854,7000
2020-01-02 10:00:00,60.942,60.942,60.674,60.788,7600
2020-01-02 10:05:00,60.72,60.72,60.681,60.681,2000
2020-01-02 10:10:00,60.571,60.664,60.508,60.597,13000
2020-01-02 10:15:00,60.558,60.591,60.516,60.516,4000
2020-01-02 10:20:00,60.518,60.585,60.496,60.573,8000
2020-01-02 10:30:00,60.874,60.92,60.76,60.856,13050
2020-01-02 10:35:00,60.824,60.824,60.729,60.729,4000
2020-01-02 10:40:00,60.796,60.796,60.695,60.749,19930
2020-01-02 10:45:00,60.742,60.83,60.742,60.83,3000
2020-01-02 10:50:00,60.772,60.918,60.772,60.854,9220
2020-01-02 10:55:00,60.941,61.086,60.941,61.04,9500
2020-01-02 11:00:00,60.993,61.155,60.993,61.155,8000
2020-01-02 11:05:00,61.3,61.327,61.224,61.254,11000
2020-01-02 11:10:00,61.322,61.46,61.322,61.46,4000
2020-01-02 11:15:00,61.39,61.439,61.24,61.24,15000
2020-01-02 11:20:00,61.3,61.406,61.266,61.406,13100
2020-01-02 11:25:00,61.294,61.294,61.144,61.194,12000
2020-01-02 11:30:00,61.11,61.184,61.053,61.053,14000
2020-01-02 11:35:00,61.051,61.107,60.984,61.093,12000
2020-01-02 11:40:00,61.115,61.174,61.004,61.032,23000
2020-01-02 11:45:00,61.028,61.102,60.973,61.016,18830
2020-01-02 11:50:00,61.009,61.076,60.979,60.979,18010
2020-01-02 11:55:00,61.022,61.085,60.916,61.021,15500
2020-01-02 12:00:00,61.037,61.085,61.03,61.073,16950
2020-01-02 12:05:00,61.104,61.15,61.096,61.13,9000
2020-01-02 12:10:00,61.156,61.158,61.095,61.156,4000
2020-01-02 12:15:00,61.231,61.354,61.196,61.309,20460
2020-01-02 12:20:00,61.374,61.394,61.359,61.384,5000
2020-01-02 12:25:00,61.368,61.461,61.366,61.414,5000
2020-01-02 12:30:00,61.425,61.479,61.425,61.479,3000
2020-01-02 12:35:00,61.508,61.508,61.401,61.435,17000
2020-01-02 12:40:00,61.436,61.463,61.418,61.422,11100
2020-01-02 12:45:00,61.458,61.548,61.366,61.391,20500
2020-01-02 12:50:00,61.386,61.418,61.316,61.317,6000
2020-01-02 12:55:00,61.337,61.377,61.337,61.377,5000
2020-01-02 13:00:00,61.392,61.411,61.311,61.411,8000
2020-01-02 13:05:00,61.406,61.406,61.325,61.398,12000
2020-01-02 13:10:00,61.389,61.389,61.254,61.298,10000
2020-01-02 13:15:00,61.18,61.287,61.151,61.151,19180
2020-01-02 13:20:00,61.151,61.179,61.047,61.102,58320
2020-01-02 13:25:00,61.133,61.133,61.039,61.039,8000
2020-01-02 13:30:00,61.115,61.115,61.084,61.112,10000
2020-01-02 13:35:00,61.082,61.091,61.076,61.083,9000
2020-01-02 13:40:00,61.113,61.113,61.028,61.028,9000
2020-01-02 13:45:00,61.035,61.057,60.94,60.977,16000
2020-01-02 13:50:00,60.905,60.92,60.743,60.874,11000
2020-01-02 13:55:00,60.866,60.933,60.759,60.933,21290
2020-01-02 14:00:00,60.895,61.028,60.895,61.028,5000
2020-01-02 14:05:00,61.05,61.05,60.935,60.969,6000
2020-01-02 14:10:00,61.0,61.008,60.969,61.008,5000
2020-01-02 14:15:00,61.064,61.104,61.024,61.077,14960
2020-01-02 14:20:00,61.026,61.271,61.026,61.271,14000
2020-01-02 14:25:00,61.256,61.353,61.254,61.325,12000
2020-01-02 14:30:00,61.326,61.326,61.242,61.242,21770
2020-01-02 14:35:00,61.278,61.332,61.271,61.332,6000
2020-01-02 14:40:00,61.334,61.395,61.334,61.358,14690
2020-01-02 14:45:00,61.372,61.42,61.365,61.42,12000
2020-01-02 14:50:00,61.391,61.391,61.391,61.391,1000
2020-01-02 14:55:00,61.415,61.463,61.4,61.4,13000
2020-01-02 15:00:00,61.386,61.41,61.378,61.41,5000
2020-01-02 15:05:00,61.388,61.398,61.358,61.375,5000
2020-01-02 15:10:00,61.465,61.5,61.465,61.484,4000
2020-01-02 15:15:00,61.514,61.549,61.488,61.503,13020
2020-01-02 15:20:00,61.534,61.588,61.488,61.553,16000
2020-01-02 15:25:00,61.575,61.673,61.575,61.636,34000
2020-01-02 15:30:00,61.6,61.732,61.6,61.682,30170
2020-01-02 15:35:00,61.737,61.79,61.64,61.65,36790
2020-01-02 15:40:00,61.698,61.841,61.678,61.784,39000
2020-01-02 15:45:00,61.827,61.889,61.781,61.786,37390
2020-01-02 15:50:00,61.76,61.963,61.758,61.963,86170
2020-01-02 15:55:00,61.967,62.113,61.917,62.1,272400
2020-01-02 16:00:00,62.066,62.066,62.066,62.066,696960
2020-01-03 09:30:00,61.542,61.723,61.362,61.362,20460
2020-01-03 09:35:00,61.363,61.79,61.362,61.664,11460
2020-01-03 09:40:00,61.64,61.963,61.64,61.962,12000
2020-01-03 09:45:00,61.879,62.099,61.791,61.912,24000
2020-01-03 09:50:00,61.983,62.071,61.771,62.071,5000
2020-01-03 09:55:00,62.051,62.176,62.051,62.176,7200
2020-01-03 10:00:00,61.952,62.163,61.952,62.154,6000
2020-01-03 10:05:00,62.182,62.326,62.129,62.289,11000
2020-01-03 10:10:00,62.289,62.326,62.205,62.326,27310
2020-01-03 10:15:00,62.326,62.328,62.118,62.204,12000
2020-01-03 10:20:00,62.106,62.134,61.981,61.981,6000
2020-01-03 10:25:00,62.061,62.203,62.061,62.115,14000
2020-01-03 10:30:00,62.065,62.272,62.065,62.272,5000
2020-01-03 10:35:00,62.295,62.298,62.149,62.206,9000
2020-01-03 10:40:00,62.206,62.289,62.206,62.289,2000
2020-01-03 10:45:00,62.251,62.323,62.205,62.3,10000
2020-01-03 10:50:00,62.184,62.254,62.156,62.254,6000
2020-01-03 10:55:00,62.222,62.322,62.213,62.213,20100
2020-01-03 11:00:00,62.32,62.32,62.116,62.149,10000
2020-01-03 11:05:00,62.099,62.124,62.005,62.054,43820
2020-01-03 11:10:00,62.049,62.162,62.049,62.162,8000
2020-01-03 11:15:00,62.189,62.192,62.174,62.174,6700
2020-01-03 11:20:00,62.175,62.294,62.169,62.294,11000
2020-01-03 11:25:00,62.252,62.286,62.107,62.273,9000
2020-01-03 11:30:00,62.243,62.247,62.122,62.122,44980
2020-01-03 11:35:00,62.081,62.135,61.979,62.093,11000
2020-01-03 11:40:00,62.036,62.121,62.036,62.121,18300
2020-01-03 11:50:00,62.058,62.058,62.058,62.058,1000
2020-01-03 11:55:00,62.077,62.078,62.055,62.055,2000
2020-01-03 12:00:00,62.065,62.134,62.066,62.071,11000
2020-01-03 12:05:00,62.133,62.133,62.105,62.126,4210
2020-01-03 12:10:00,62.151,62.194,62.124,62.186,5000
2020-01-03 12:15:00,62.194,62.323,62.194,62.323,5000
2020-01-03 12:20:00,62.255,62.322,62.255,62.32,4000
2020-01-03 12:25:00,62.322,62.323,62.322,62.323,4000
2020-01-03 12:30:00,62.247,62.399,62.243,62.399,24000
2020-01-03 12:35:00,62.387,62.486,62.387,62.486,12000
2020-01-03 12:40:00,62.47,62.484,62.409,62.443,5000
2020-01-03 12:45:00,62.481,62.483,62.481,62.483,2000
2020-01-03 12:50:00,62.485,62.582,62.485,62.541,17700
2020-01-03 12:55:00,62.529,62.589,62.53,62.574,5000
2020-01-03 13:00:00,62.475,62.568,62.472,62.552,12000
2020-01-03 13:05:00,62.48,62.48,62.272,62.408,31000
2020-01-03 13:10:00,62.424,62.479,62.4,62.444,39880
2020-01-03 13:15:00,62.472,62.472,62.382,62.382,12190
2020-01-03 13:20:00,62.381,62.456,62.381,62.456,5000
2020-01-03 13:25:00,62.456,62.488,62.456,62.488,5000
2020-01-03 13:30:00,62.464,62.464,62.396,62.396,11000
2020-01-03 13:35:00,62.386,62.428,62.294,62.294,5000
2020-01-03 13:40:00,62.295,62.465,62.295,62.465,7000
2020-01-03 13:45:00,62.494,62.54,62.463,62.54,6750
2020-01-03 13:50:00,62.558,62.558,62.55,62.558,3000
2020-01-03 13:55:00,62.552,62.572,62.545,62.569,9000
2020-01-03 14:00:00,62.535,62.611,62.522,62.611,40070
2020-01-03 14:05:00,62.522,62.608,62.347,62.347,10000
2020-01-03 14:10:00,62.421,62.472,62.413,62.472,5000
2020-01-03 14:15:00,62.381,62.452,62.335,62.335,5390
2020-01-03 14:20:00,62.446,62.456,62.391,62.391,6760
2020-01-03 14:25:00,62.459,62.485,62.323,62.323,10000
2020-01-03 14:30:00,62.303,62.409,62.29,62.349,14000
2020-01-03 14:35:00,62.296,62.328,62.288,62.294,7000
2020-01-03 14:40:00,62.324,62.324,62.231,62.231,6000
2020-01-03 14:45:00,62.274,62.298,62.269,62.289,10000
2020-01-03 14:50:00,62.258,62.438,62.258,62.438,4000
2020-01-03 14:55:00,62.449,62.485,62.417,62.485,7000
2020-01-03 15:00:00,62.448,62.448,62.378,62.378,7000
2020-01-03 15:05:00,62.282,62.38,62.282,62.334,3550
2020-01-03 15:10:00,62.344,62.345,62.278,62.278,5000
2020-01-03 15:15:00,62.228,62.228,62.226,62.226,4350
2020-01-03 15:20:00,62.257,62.272,62.251,62.251,6000
2020-01-03 15:25:00,62.23,62.23,62.23,62.23,1000
2020-01-03 15:30:00,62.216,62.42,62.216,62.395,42000
2020-01-03 15:35:00,62.403,62.448,62.388,62.388,3000
2020-01-03 15:40:00,62.394,62.568,62.392,62.568,24330
2020-01-03 15:45:00,62.499,62.518,62.422,62.509,23000
2020-01-03 15:50:00,62.481,62.675,62.446,62.573,78000
2020-01-03 15:55:00,62.594,62.678,62.568,62.648,108670
2020-01-03 16:00:00,62.62,62.62,62.62,62.62,239400
2020-01-06 09:30:00,62.344,62.563,62.204,62.563,12820
2020-01-06 09:35:00,62.343,62.493,62.306,62.306,6000
2020-01-06 09:40:00,62.176,62.27,62.176,62.27,9000
2020-01-06 09:50:00,62.105,62.105,61.751,61.751,2980
2020-01-06 10:00:00,62.034,62.034,62.034,62.034,1000
2020-01-06 10:10:00,62.212,62.229,62.212,62.229,2120
2020-01-06 10:15:00,62.199,62.2,62.198,62.198,6000
2020-01-06 10:20:00,62.091,62.222,62.091,62.222,6000
2020-01-06 10:25:00,62.217,62.217,62.173,62.173,2000
2020-01-06 10:30:00,62.24,62.285,62.149,62.19,6000
2020-01-06 10:35:00,62.189,62.251,62.127,62.127,8000
2020-01-06 10:40:00,62.138,62.152,62.138,62.152,2000
2020-01-06 10:45:00,62.235,62.306,62.235,62.29,3000
2020-01-06 10:50:00,62.25,62.25,62.175,62.175,4000
2020-01-06 10:55:00,62.155,62.176,62.075,62.085,10000
2020-01-06 11:00:00,62.061,62.192,62.061,62.11,15000
2020-01-06 11:05:00,62.07,62.133,62.049,62.065,16010
2020-01-06 11:10:00,62.073,62.073,61.909,61.909,7000
2020-01-06 11:15:00,61.872,61.922,61.772,61.862,20000
2020-01-06 11:20:00,61.794,61.807,61.794,61.807,2000
2020-01-06 11:25:00,61.775,61.79,61.775,61.787,3650
2020-01-06 11:30:00,61.842,61.842,61.778,61.814,15000
2020-01-06 11:35:00,61.79,61.791,61.691,61.691,27000
2020-01-06 11:40:00,61.715,61.728,61.603,61.728,50000
2020-01-06 11:45:00,61.717,61.75,61.607,61.696,37560
2020-01-06 11:50:00,61.672,61.737,61.672,61.737,9000
2020-01-06 11:55:00,61.813,61.813,61.813,61.813,1000
2020-01-06 12:00:00,61.862,61.862,61.806,61.806,13000
2020-01-06 12:05:00,61.804,61.804,61.787,61.787,2000
2020-01-06 12:10:00,61.753,61.753,61.732,61.732,5000
2020-01-06 12:15:00,61.709,61.709,61.709,61.709,1000
2020-01-06 12:20:00,61.775,61.818,61.775,61.818,2120
2020-01-06 12:25:00,61.809,61.868,61.777,61.814,9000
2020-01-06 12:30:00,61.858,61.858,61.858,61.858,1000
2020-01-06 12:35:00,61.802,61.803,61.802,61.803,8190
2020-01-06 12:40:00,61.843,61.843,61.843,61.843,1000
