Date,Open,High,Low,Close,Volume
2020-01-02 09:30:00,5.23,5.23,5.222,5.222,4009
2020-01-02 09:35:00,5.19,5.21,5.185,5.21,1846
2020-01-02 09:40:00,5.22,5.22,5.19,5.19,1300
2020-01-02 09:45:00,5.19,5.19,5.16,5.16,1016
2020-01-02 09:50:00,5.16,5.165,5.14,5.16,4124
2020-01-02 09:55:00,5.155,5.16,5.14,5.16,3050
2020-01-02 10:00:00,5.16,5.17,5.16,5.17,2051
2020-01-02 10:05:00,5.17,5.17,5.15,5.15,3459
2020-01-02 10:10:00,5.14,5.145,5.12,5.12,3550
2020-01-02 10:15:00,5.12,5.12,5.115,5.12,4921
2020-01-02 10:20:00,5.11,5.11,5.075,5.08,2347
2020-01-02 10:25:00,5.07,5.07,5.07,5.07,100
2020-01-02 10:30:00,5.08,5.08,5.065,5.065,1600
2020-01-02 10:35:00,5.07,5.07,5.065,5.07,1350
2020-01-02 10:40:00,5.07,5.08,5.07,5.08,4972
2020-01-02 10:45:00,5.08,5.08,5.075,5.08,1078
2020-01-02 10:50:00,5.08,5.09,5.08,5.08,3411
2020-01-02 10:55:00,5.09,5.09,5.09,5.09,910
2020-01-02 11:00:00,5.09,5.09,5.07,5.07,2087
2020-01-02 11:05:00,5.06,5.06,5.04,5.045,9385
2020-01-02 11:10:00,5.04,5.05,5.04,5.05,1900
2020-01-02 11:15:00,5.05,5.05,5.04,5.04,750
2020-01-02 11:20:00,5.04,5.04,5.025,5.03,1382
2020-01-02 11:25:00,5.02,5.027,5.02,5.027,300
2020-01-02 11:30:00,5.025,5.025,5.005,5.005,4900
2020-01-02 11:35:00,5.0,5.0,4.98,4.995,8047
2020-01-02 11:40:00,4.995,5.0,4.99,4.99,600
2020-01-02 11:45:00,4.98,4.99,4.98,4.985,692
2020-01-02 11:50:00,4.98,4.98,4.98,4.98,200
2020-01-02 11:55:00,4.98,4.99,4.98,4.985,5862
2020-01-02 12:00:00,4.99,4.99,4.985,4.99,1450
2020-01-02 12:05:00,4.99,4.99,4.99,4.99,200
2020-01-02 12:10:00,4.99,4.99,4.97,4.975,2408
2020-01-02 12:15:00,4.97,4.97,4.96,4.96,953
2020-01-02 12:20:00,4.96,4.97,4.96,4.97,400
2020-01-02 12:25:00,4.96,4.97,4.96,4.96,400
2020-01-02 12:30:00,4.96,4.96,4.96,4.96,354
