Date,Open,High,Low,Close,Volume
2023-11-06 07:00:00,17.25,17.25,17.25,17.25,501
2023-11-06 07:05:00,17.25,17.25,17.25,17.25,17
2023-11-06 07:10:00,17.25,17.25,17.25,17.25,18
2023-11-06 07:20:00,17.25,17.25,17.25,17.25,500
2023-11-06 07:30:00,17.25,17.25,17.18,17.18,10
2023-11-06 07:40:00,17.25,17.25,17.25,17.25,30
2023-11-06 07:45:00,17.25,17.25,17.25,17.25,253
2023-11-06 07:50:00,17.25,17.29,17.25,17.29,16
2023-11-06 07:55:00,17.25,17.26,17.25,17.25,2208
2023-11-06 08:00:00,17.3,17.5,17.17,17.17,3725
2023-11-06 08:05:00,17.17,17.25,17.0,17.17,195
2023-11-06 08:10:00,17.264,17.3,17.15,17.15,592
2023-11-06 08:15:00,17.26,17.26,17.26,17.26,177
2023-11-06 08:20:00,17.25,17.26,17.15,17.16,1761
2023-11-06 08:25:00,17.0,17.16,16.9,16.9,109
2023-11-06 08:30:00,17.0,17.0,16.9,17.0,61
2023-11-06 08:35:00,17.0,17.0,16.9,17.0,993
2023-11-06 08:40:00,17.17,17.17,17.17,17.17,431
2023-11-06 08:45:00,17.03,17.16,17.03,17.16,7
2023-11-06 08:50:00,17.15,17.15,16.86,17.15,474
2023-11-06 08:55:00,16.93,17.16,16.9,16.92,435
2023-11-06 09:00:00,17.16,17.16,17.03,17.03,1014
2023-11-06 09:05:00,16.92,17.16,16.91,17.16,388
2023-11-06 09:10:00,17.15,17.15,17.0,17.04,312
2023-11-06 09:15:00,17.06,17.06,17.06,17.06,3518
2023-11-06 09:20:00,17.06,17.06,17.06,17.06,1459
2023-11-06 09:25:00,17.16,17.76,17.14,17.46,11966
2023-11-06 09:30:00,17.25,17.5,16.92,16.955,216360
2023-11-06 09:35:00,16.92,16.92,16.55,16.62,55638
2023-11-06 09:40:00,16.635,16.75,16.25,16.27,77358
2023-11-06 09:45:00,16.31,16.4,16.14,16.35,63339
2023-11-06 09:50:00,16.35,16.6,16.33,16.33,42631
2023-11-06 09:55:00,16.37,16.66,16.32,16.57,24316
2023-11-06 10:00:00,16.59,16.86,16.56,16.575,40255
2023-11-06 10:05:00,16.575,16.575,16.48,16.54,27287
2023-11-06 10:10:00,16.54,16.56,16.29,16.29,40294
2023-11-06 10:15:00,16.3,16.44,16.29,16.355,27193
2023-11-06 10:20:00,16.355,16.38,16.29,16.29,20088
2023-11-06 10:25:00,16.27,16.28,16.2,16.28,28204
2023-11-06 10:30:00,16.33,16.445,16.31,16.37,43929
2023-11-06 10:35:00,16.36,16.44,16.33,16.43,10376
2023-11-06 10:40:00,16.43,16.46,16.39,16.408,21482
2023-11-06 10:45:00,16.4,16.4,16.3,16.3,14054
2023-11-06 10:50:00,16.3,16.37,16.3,16.36,11920
2023-11-06 10:55:00,16.36,16.56,16.32,16.35,31445
2023-11-06 11:00:00,16.35,16.35,16.32,16.32,6346
2023-11-06 11:05:00,16.32,16.41,16.31,16.36,13040
2023-11-06 11:10:00,16.38,16.38,16.3,16.3,10458
2023-11-06 11:15:00,16.28,16.28,16.25,16.27,10834
2023-11-06 11:20:00,16.27,16.27,16.14,16.2,29894
2023-11-06 11:25:00,16.18,16.36,16.18,16.335,31133
2023-11-06 11:30:00,16.33,16.33,16.24,16.25,14975
2023-11-06 11:35:00,16.245,16.28,16.245,16.255,8606
2023-11-06 11:40:00,16.25,16.25,16.13,16.19,10124
2023-11-06 11:45:00,16.19,16.19,16.069,16.09,10374
2023-11-06 11:50:00,16.12,16.19,16.12,16.16,7480
2023-11-06 11:55:00,16.16,16.18,16.11,16.13,12077
2023-11-06 12:00:00,16.135,16.19,16.12,16.12,10899
2023-11-06 12:05:00,16.12,16.12,16.05,16.115,12185
2023-11-06 12:10:00,16.115,16.12,16.1,16.11,2509
2023-11-06 12:15:00,16.11,16.134,16.11,16.12,9977
2023-11-06 12:20:00,16.12,16.12,15.99,16.02,24303
2023-11-06 12:25:00,16.02,16.06,16.0,16.055,18481
2023-11-06 12:30:00,16.05,16.08,16.02,16.02,8957
2023-11-06 12:35:00,16.01,16.06,16.01,16.06,11011
2023-11-06 12:40:00,16.06,16.07,16.05,16.065,10807
2023-11-06 12:45:00,16.065,16.07,16.01,16.02,8550
2023-11-06 12:50:00,16.03,16.03,15.95,15.99,19205
2023-11-06 12:55:00,16.0,16.08,15.981,16.08,10965
2023-11-06 13:00:00,16.08,16.13,16.02,16.02,15292
2023-11-06 13:05:00,16.02,16.035,15.98,15.995,11499
2023-11-06 13:10:00,15.98,16.01,15.92,15.945,16764
2023-11-06 13:15:00,15.91,15.95,15.85,15.855,26414
2023-11-06 13:20:00,15.85,15.85,15.78,15.84,19015
2023-11-06 13:25:00,15.84,15.975,15.83,15.93,19942
2023-11-06 13:30:00,15.92,15.94,15.81,15.87,12127
2023-11-06 13:35:00,15.88,15.975,15.87,15.92,17867
2023-11-06 13:40:00,15.92,15.92,15.87,15.88,3050
2023-11-06 13:45:00,15.87,15.88,15.85,15.86,5936
2023-11-06 13:50:00,15.86,15.87,15.78,15.79,11686
2023-11-06 13:55:00,15.8,15.88,15.8,15.87,9437
2023-11-06 14:00:00,15.88,15.88,15.78,15.81,21339
2023-11-06 14:05:00,15.8,15.8,15.78,15.78,5922
2023-11-06 14:10:00,15.78,15.795,15.765,15.765,9034
2023-11-06 14:15:00,15.77,15.8,15.62,15.8,46539
2023-11-06 14:20:00,15.82,15.91,15.82,15.89,17922
2023-11-06 14:25:00,15.89,15.89,15.82,15.82,14005
2023-11-06 14:30:00,15.825,15.865,15.82,15.865,4586
2023-11-06 14:35:00,15.868,15.87,15.83,15.84,10464
2023-11-06 14:40:00,15.83,15.84,15.81,15.829,26340
2023-11-06 14:45:00,15.82,15.82,15.75,15.76,18756
2023-11-06 14:50:00,15.76,15.84,15.76,15.84,19027
2023-11-06 14:55:00,15.84,15.87,15.83,15.85,8493
2023-11-06 15:00:00,15.85,15.858,15.85,15.855,5093
2023-11-06 15:05:00,15.86,15.86,15.82,15.825,10817
2023-11-06 15:10:00,15.825,15.96,15.78,15.93,46620
2023-11-06 15:15:00,15.935,16.0,15.93,15.995,31596
2023-11-06 15:20:00,15.99,16.06,15.98,15.99,34500
2023-11-06 15:25:00,15.995,15.995,15.94,15.94,39126
2023-11-06 15:30:00,15.96,16.05,15.93,16.05,24723
2023-11-06 15:35:00,16.03,16.03,15.985,16.02,29021
2023-11-06 15:40:00,16.03,16.09,16.03,16.09,25380
2023-11-06 15:45:00,16.073,16.15,16.04,16.12,73410
2023-11-06 15:50:00,16.12,16.24,16.08,16.21,109039
2023-11-06 15:55:00,16.19,16.22,16.13,16.22,196488
2023-11-06 16:00:00,16.22,16.22,16.07,16.08,369324
2023-11-06 16:05:00,16.08,16.08,16.08,16.08,519
2023-11-06 16:10:00,16.2,16.2,16.2,16.2,176062
2023-11-06 16:20:00,16.08,16.08,16.08,16.08,200
2023-11-06 16:30:00,16.07,16.07,16.07,16.07,1
2023-11-06 16:45:00,16.08,16.08,16.08,16.08,13
2023-11-06 16:55:00,16.08,16.08,16.08,16.08,5
2023-11-06 17:30:00,16.08,16.08,16.08,16.08,3
2023-11-06 17:35:00,16.08,16.08,16.08,16.08,176
2023-11-06 17:40:00,16.19,16.19,16.189,16.189,718
2023-11-06 17:45:00,16.189,16.189,16.189,16.189,52
2023-11-06 18:20:00,16.14,16.14,16.1,16.1,25
2023-11-06 18:30:00,16.2,16.2,16.2,16.2,176062
2023-11-06 18:40:00,16.19,16.19,16.19,16.19,1
2023-11-06 19:00:00,16.2,16.2,16.2,16.2,176062
2023-11-06 19:15:00,16.19,16.19,16.19,16.19,328
2023-11-06 19:20:00,16.19,16.19,16.19,16.19,10
2023-11-06 19:30:00,16.09,16.09,16.09,16.09,9
2023-11-06 19:45:00,16.1,16.1,16.1,16.1,25
2023-11-06 19:50:00,16.18,16.27,16.18,16.21,210
2023-11-07 07:00:00,16.29,16.34,16.29,16.34,250
2023-11-07 07:45:00,16.3,16.3,16.3,16.3,2
2023-11-07 07:50:00,16.26,16.26,16.16,16.16,400
2023-11-07 08:00:00,16.3,16.36,16.16,16.16,247
2023-11-07 08:10:00,16.15,16.15,16.15,16.15,7
2023-11-07 08:30:00,16.06,16.06,16.06,16.06,4
2023-11-07 08:45:00,16.06,16.061,16.061,16.061,130
2023-11-07 08:50:00,16.11,16.11,16.11,16.11,6
2023-11-07 08:55:00,16.15,16.15,16.15,16.15,2
2023-11-07 09:10:00,16.06,16.06,16.06,16.06,14
2023-11-07 09:15:00,16.06,16.06,16.06,16.06,1
2023-11-07 09:20:00,16.15,16.16,16.15,16.16,91
2023-11-07 09:25:00,16.19,16.2,16.19,16.2,402
2023-11-07 09:30:00,16.23,16.46,16.175,16.42,33059
2023-11-07 09:35:00,16.4,16.4,16.021,16.021,30210
2023-11-07 09:40:00,16.0,16.13,15.895,16.13,22362
2023-11-07 09:45:00,16.18,16.18,15.985,15.985,18615
2023-11-07 09:50:00,15.93,16.08,15.93,16.04,13781
2023-11-07 09:55:00,16.04,16.29,16.04,16.265,13918
2023-11-07 10:00:00,16.29,16.33,16.17,16.2,19696
2023-11-07 10:05:00,16.2,16.2,16.036,16.11,37614
2023-11-07 10:10:00,16.11,16.19,16.08,16.175,23106
2023-11-07 10:15:00,16.19,16.35,16.165,16.35,43259
2023-11-07 10:20:00,16.34,16.42,16.32,16.41,32020
2023-11-07 10:25:00,16.4,16.53,16.4,16.44,50715
2023-11-07 10:30:00,16.44,16.44,16.22,16.34,42617
2023-11-07 10:35:00,16.345,16.46,16.31,16.41,20338
2023-11-07 10:40:00,16.38,16.39,16.29,16.37,22272
2023-11-07 10:45:00,16.36,16.43,16.34,16.385,22222
2023-11-07 10:50:00,16.385,16.4,16.31,16.325,20778
2023-11-07 10:55:00,16.31,16.32,16.23,16.27,30963
2023-11-07 11:00:00,16.28,16.28,16.13,16.21,28951
2023-11-07 11:05:00,16.21,16.27,16.2,16.24,18850
