Date,Open,High,Low,Close,Volume
2020-01-02 09:30:00,5.98,5.98,5.97,5.97,373
2020-01-02 09:35:00,5.97,6.05,5.97,6.01,800
2020-01-02 09:40:00,6.01,6.01,6.0,6.0,448
2020-01-02 09:45:00,5.99,5.99,5.98,5.98,600
2020-01-02 09:50:00,5.98,5.98,5.93,5.959,3375
2020-01-02 09:55:00,5.94,5.95,5.935,5.935,1683
2020-01-02 10:00:00,5.935,5.95,5.935,5.935,1100
2020-01-02 10:05:00,5.935,5.95,5.935,5.95,900
2020-01-02 10:10:00,5.945,5.96,5.945,5.945,800
2020-01-02 10:15:00,5.945,5.945,5.945,5.945,400
2020-01-02 10:20:00,5.945,5.97,5.945,5.97,645
2020-01-02 10:25:00,5.95,5.95,5.95,5.95,200
2020-01-02 10:30:00,5.94,5.94,5.94,5.94,100
2020-01-02 10:35:00,5.94,5.95,5.94,5.95,200
2020-01-02 10:40:00,5.95,5.95,5.95,5.95,100
2020-01-02 10:45:00,5.98,5.98,5.95,5.95,600
2020-01-02 10:50:00,5.98,5.98,5.95,5.97,400
2020-01-02 10:55:00,5.97,5.97,5.95,5.97,500
2020-01-02 11:00:00,5.95,5.95,5.895,5.895,500
2020-01-02 11:05:00,5.885,5.885,5.88,5.88,600
2020-01-02 11:10:00,5.88,5.88,5.88,5.88,200
2020-01-02 11:15:00,5.88,5.9,5.88,5.9,400
2020-01-02 11:20:00,5.9,5.9,5.9,5.9,1800
2020-01-02 11:25:00,5.87,5.89,5.87,5.89,345
2020-01-02 11:30:00,5.9,5.91,5.9,5.91,200
2020-01-02 11:35:00,5.87,5.87,5.85,5.85,200
2020-01-02 11:40:00,5.869,5.89,5.869,5.881,1320
2020-01-02 11:45:00,5.89,5.89,5.89,5.89,100
2020-01-02 12:00:00,5.87,5.87,5.87,5.87,100
2020-01-02 12:05:00,5.88,5.88,5.87,5.87,1425
2020-01-02 12:10:00,5.87,5.87,5.84,5.84,6644
2020-01-02 12:15:00,5.8,5.82,5.8,5.8,400
2020-01-02 12:20:00,5.83,5.83,5.83,5.83,100
2020-01-02 12:25:00,5.83,5.83,5.81,5.81,200
2020-01-02 12:30:00,5.81,5.82,5.81,5.82,200
2020-01-02 12:35:00,5.83,5.87,5.83,5.855,2852
2020-01-02 12:45:00,5.87,5.87,5.86,5.865,400
2020-01-02 12:50:00,5.86,5.86,5.85,5.86,1908
2020-01-02 13:00:00,5.85,5.87,5.85,5.85,1300
2020-01-02 13:05:00,5.85,5.85,5.845,5.85,1451
2020-01-02 13:10:00,5.87,5.87,5.85,5.85,200
2020-01-02 13:15:00,5.87,5.87,5.85,5.85,200
2020-01-02 13:20:00,5.85,5.85,5.85,5.85,100
2020-01-02 13:25:00,5.85,5.85,5.845,5.845,200
2020-01-02 13:30:00,5.84,5.84,5.84,5.84,100
2020-01-02 13:35:00,5.87,5.87,5.84,5.84,200
2020-01-02 13:40:00,5.84,5.84,5.84,5.84,100
2020-01-02 13:45:00,5.8,5.83,5.75,5.75,5289
