Date,Open,High,Low,Close,Volume
2020-01-02 10:05:00,4.659,4.785,4.516,4.678,400
2020-01-02 10:50:00,4.581,4.705,4.441,4.6,198
2020-01-03 09:30:00,4.188,4.302,4.06,4.206,100
2020-01-08 10:50:00,4.416,4.535,4.281,4.434,278
2020-01-08 10:55:00,4.415,4.535,4.28,4.434,500
2020-01-08 11:10:00,4.417,4.537,4.282,4.436,100
2020-01-08 11:40:00,4.454,4.575,4.318,4.473,800
2020-01-08 11:45:00,4.465,4.586,4.328,4.484,100
2020-01-08 11:50:00,4.465,4.586,4.318,4.478,300
2020-01-08 11:55:00,4.465,4.586,4.318,4.473,400
2020-01-08 12:10:00,4.454,4.575,4.318,4.473,200
2020-01-08 12:20:00,4.459,4.58,4.318,4.473,900
2020-01-08 12:50:00,4.437,4.557,4.302,4.456,200
2020-01-08 13:40:00,4.426,4.546,4.28,4.434,500
2020-01-08 13:45:00,4.426,4.546,4.291,4.445,1000
2020-01-08 13:50:00,4.426,4.546,4.291,4.445,1000
2020-01-08 13:55:00,4.415,4.535,4.28,4.434,760
2020-01-08 14:05:00,4.421,4.54,4.28,4.434,398
2020-01-08 14:20:00,4.415,4.535,4.264,4.428,999
2020-01-08 14:25:00,4.41,4.529,4.275,4.428,120
2020-01-08 14:30:00,4.41,4.529,4.275,4.428,120
2020-01-08 14:35:00,4.421,4.54,4.285,4.439,120
2020-01-08 14:40:00,4.421,4.54,4.285,4.439,120
2020-01-08 14:45:00,4.421,4.54,4.285,4.439,400
2020-01-08 14:50:00,4.421,4.54,4.285,4.439,120
2020-01-08 15:00:00,4.421,4.54,4.285,4.439,120
2020-01-08 15:05:00,4.41,4.529,4.275,4.428,120
2020-01-08 15:15:00,4.41,4.529,4.275,4.428,200
2020-01-08 15:20:00,4.399,4.518,4.264,4.417,1600
2020-01-08 15:25:00,4.404,4.529,4.248,4.4,2941
2020-01-08 15:50:00,4.376,4.495,4.243,4.395,500
2020-01-09 10:00:00,4.315,4.432,4.184,4.334,500
2020-01-13 13:10:00,4.858,4.989,4.709,4.878,100
2020-01-14 09:35:00,4.847,4.984,4.698,4.873,300
2020-01-14 11:35:00,4.819,4.95,4.672,4.839,100
2020-01-14 12:45:00,4.852,4.984,4.704,4.873,112
2020-01-14 12:50:00,4.852,4.984,4.704,4.873,200
2020-01-14 13:00:00,4.869,5.001,4.72,4.889,100
2020-01-15 12:50:00,4.83,4.967,4.682,4.857,300
2020-01-16 10:40:00,4.869,5.001,4.72,4.889,100
2020-01-17 11:00:00,4.808,4.938,4.661,4.828,100
2020-01-21 10:35:00,5.018,5.154,4.865,5.039,100
2020-01-22 09:30:00,4.725,4.853,4.58,4.745,161
2020-01-22 11:05:00,5.062,5.2,4.908,5.084,100
2020-01-22 11:50:00,5.062,5.2,4.908,5.084,300
2020-01-23 10:30:00,4.985,5.12,4.833,5.006,100
2020-01-24 10:50:00,4.681,4.825,4.538,4.717,351
2020-01-24 15:40:00,4.703,4.839,4.548,4.731,1536
2020-01-27 10:35:00,4.664,4.79,4.521,4.684,100
2020-01-27 12:55:00,4.681,4.808,4.538,4.7,100
2020-01-27 13:00:00,4.697,4.842,4.554,4.734,200
2020-01-27 13:45:00,4.73,4.859,4.586,4.75,100
2020-01-28 11:05:00,4.808,4.938,4.661,4.828,100
2020-01-28 11:20:00,4.907,5.04,4.757,4.928,100
2020-01-28 11:55:00,4.907,5.04,4.757,4.928,200
2020-01-28 12:00:00,4.924,5.058,4.774,4.945,200
2020-01-28 12:25:00,4.941,5.075,4.79,4.962,200
2020-01-28 12:30:00,4.957,5.109,4.806,4.995,300
2020-01-28 15:00:00,4.907,5.046,4.757,4.934,680
2020-01-29 09:30:00,4.941,5.075,4.79,4.962,120
2020-01-29 10:05:00,4.952,5.086,4.8,4.973,100
2020-01-29 10:30:00,5.035,5.171,4.881,5.056,200
2020-01-29 13:00:00,5.029,5.165,4.875,5.05,250
2020-01-29 14:30:00,4.952,5.086,4.8,4.973,200
2020-01-29 14:55:00,4.935,5.069,4.784,4.956,200
2020-01-29 15:00:00,4.935,5.075,4.784,4.962,274
2020-01-29 15:05:00,4.935,5.069,4.784,4.956,200
2020-01-29 15:10:00,4.924,5.063,4.774,4.95,202
2020-01-29 15:15:00,4.919,5.052,4.768,4.939,204
2020-01-29 15:25:00,4.885,5.018,4.736,4.906,200
2020-01-29 15:45:00,4.885,5.018,4.736,4.906,200
2020-01-30 10:30:00,4.73,4.859,4.586,4.75,100
2020-01-31 11:15:00,4.714,4.842,4.57,4.734,200
2020-01-31 12:40:00,4.711,4.847,4.567,4.739,200
2020-01-31 13:00:00,4.719,4.859,4.575,4.75,200
2020-02-03 11:00:00,4.625,4.751,4.484,4.645,100
2020-02-04 10:20:00,4.67,4.83,4.527,4.723,400
2020-02-04 10:40:00,4.708,4.836,4.564,4.728,376
2020-02-04 15:00:00,4.636,4.762,4.495,4.656,451
2020-02-04 15:05:00,4.625,4.751,4.484,4.645,202
2020-02-04 15:10:00,4.609,4.734,4.468,4.628,204
2020-02-04 15:15:00,4.603,4.728,4.462,4.623,203
2020-02-04 15:35:00,4.62,4.745,4.479,4.639,200
2020-02-05 10:40:00,4.753,4.881,4.607,4.773,100
2020-02-10 11:25:00,4.598,4.728,4.452,4.611,3000
2020-02-10 11:45:00,4.581,4.705,4.441,4.6,200
2020-02-10 15:00:00,4.631,4.756,4.489,4.65,253
2020-02-10 15:05:00,4.631,4.756,4.489,4.65,200
2020-02-10 15:10:00,4.659,4.785,4.516,4.678,692
2020-02-10 15:35:00,4.681,4.808,4.538,4.7,100
2020-02-10 15:50:00,4.697,4.825,4.554,4.717,100
2020-02-11 11:00:00,4.858,4.989,4.709,4.878,200
2020-02-11 11:05:00,4.858,4.989,4.709,4.878,150
2020-02-11 11:15:00,4.858,4.989,4.709,4.878,150
2020-02-11 11:20:00,4.858,5.006,4.709,4.878,1262
2020-02-11 11:25:00,4.858,4.989,4.709,4.878,150
2020-02-11 12:05:00,4.858,4.995,4.709,4.884,300
2020-02-11 12:10:00,4.858,4.989,4.709,4.878,150
2020-02-11 12:15:00,4.863,4.995,4.715,4.884,150
2020-02-11 12:20:00,4.863,4.995,4.715,4.884,150
2020-02-11 12:35:00,4.863,4.995,4.715,4.884,150
2020-02-11 12:40:00,4.863,4.995,4.715,4.884,150
2020-02-11 12:45:00,4.874,5.006,4.725,4.895,150
2020-02-11 12:50:00,4.869,5.001,4.72,4.889,150
2020-02-11 12:55:00,4.863,5.001,4.715,4.889,300
2020-02-11 13:00:00,4.88,5.012,4.731,4.9,150
2020-02-11 13:10:00,4.902,5.035,4.752,4.923,150
2020-02-11 13:20:00,4.919,5.052,4.768,4.939,150
2020-02-11 13:25:00,4.919,5.052,4.768,4.939,150
2020-02-11 13:35:00,4.913,5.046,4.763,4.934,150
2020-02-11 13:40:00,4.902,5.035,4.752,4.923,150
2020-02-11 13:50:00,4.896,5.029,4.747,4.917,150
2020-02-11 14:40:00,4.841,4.972,4.693,4.862,150
2020-02-11 14:45:00,4.836,4.972,4.688,4.862,800
2020-02-11 14:55:00,4.841,4.972,4.693,4.862,900
2020-02-11 15:00:00,4.819,4.95,4.666,4.834,604
2020-02-11 15:05:00,4.819,4.95,4.672,4.839,499
2020-02-13 15:20:00,5.09,5.228,4.934,5.112,500
2020-02-20 13:10:00,5.533,5.683,5.363,5.556,1000
