Date,Open,High,Low,Close,Volume
2020-01-02 06:15:00,75.77,76.25,75.77,76.25,500
2020-01-02 06:20:00,76.16,76.16,76.16,76.16,100
2020-01-02 06:25:00,76.6,76.6,76.6,76.6,100
2020-01-02 06:30:00,76.67,76.67,76.67,76.67,100
2020-01-02 07:00:00,76.36,76.36,76.36,76.36,100
2020-01-02 07:55:00,76.12,76.12,76.12,76.12,100
2020-01-02 08:00:00,76.5,76.5,76.5,76.5,1298
2020-01-02 08:35:00,75.5,75.5,75.5,75.5,200
2020-01-02 08:40:00,74.68,74.68,74.68,74.68,100
2020-01-02 09:30:00,74.83,75.07,74.73,74.98,20930
2020-01-02 09:35:00,74.97,75.11,74.74,74.74,4148
2020-01-02 09:40:00,74.69,74.82,74.64,74.69,3070
2020-01-02 09:45:00,74.68,74.8,74.55,74.74,20912
2020-01-02 09:50:00,74.72,74.82,74.66,74.74,13963
2020-01-02 09:55:00,74.79,74.97,74.79,74.86,2848
2020-01-02 10:00:00,74.86,75.14,74.85,75.11,3902
2020-01-02 10:05:00,75.105,75.19,75.07,75.108,6461
2020-01-02 10:10:00,75.07,75.16,75.06,75.13,2260
2020-01-02 10:15:00,75.04,75.04,74.96,74.96,3705
2020-01-02 10:20:00,74.94,74.95,74.8,74.8,2337
2020-01-02 10:25:00,74.751,74.91,74.751,74.88,5168
2020-01-02 10:30:00,74.84,74.84,74.75,74.805,1400
2020-01-02 10:35:00,74.77,74.78,74.75,74.77,1392
2020-01-02 10:40:00,74.76,74.79,74.68,74.79,3200
2020-01-02 10:45:00,74.8,74.8,74.55,74.62,4150
2020-01-02 10:50:00,74.6,74.63,74.52,74.525,2301
2020-01-02 10:55:00,74.53,74.72,74.52,74.68,4206
2020-01-02 11:00:00,74.66,74.72,74.54,74.72,5419
2020-01-02 11:05:00,74.67,74.69,74.6,74.675,3498
2020-01-02 11:10:00,74.7,74.735,74.62,74.62,3101
2020-01-02 11:15:00,74.58,74.6,74.47,74.52,8073
2020-01-02 11:20:00,74.495,74.56,74.42,74.5,13025
2020-01-02 11:25:00,74.48,74.48,74.35,74.367,3540
2020-01-02 11:30:00,74.4,74.43,74.19,74.28,11597
2020-01-02 11:35:00,74.28,74.325,74.27,74.31,6817
2020-01-02 11:40:00,74.31,74.34,74.26,74.29,9033
2020-01-02 11:45:00,74.3,74.38,74.29,74.37,12750
2020-01-02 11:50:00,74.37,74.44,74.36,74.43,11385
2020-01-02 11:55:00,74.43,74.575,74.43,74.47,4613
2020-01-02 12:00:00,74.49,74.51,74.38,74.44,12816
2020-01-02 12:05:00,74.4,74.754,74.38,74.754,7055
2020-01-02 12:10:00,74.8,74.84,74.8,74.81,1700
2020-01-02 12:15:00,74.81,74.81,74.72,74.8,6660
2020-01-02 12:20:00,74.85,74.901,74.85,74.87,1270
2020-01-02 12:25:00,74.87,74.92,74.82,74.84,1700
2020-01-02 12:30:00,74.8,74.8,74.75,74.77,1167
2020-01-02 12:35:00,74.77,74.835,74.76,74.835,2600
2020-01-02 12:40:00,74.83,74.88,74.83,74.875,3625
2020-01-02 12:45:00,74.88,74.88,74.86,74.87,900
2020-01-02 12:50:00,74.889,75.07,74.88,74.955,2700
2020-01-02 12:55:00,74.98,75.095,74.98,75.095,4737
2020-01-02 13:00:00,75.1,75.11,75.07,75.11,11533
2020-01-02 13:05:00,75.14,75.15,75.09,75.105,5316
2020-01-02 13:10:00,75.105,75.13,75.04,75.04,2732
2020-01-02 13:15:00,75.04,75.04,75.01,75.01,1350
2020-01-02 13:20:00,74.995,75.04,74.994,75.023,2972
2020-01-02 13:25:00,75.03,75.04,74.965,74.965,1700
2020-01-02 13:30:00,74.985,74.998,74.98,74.98,1001
2020-01-02 13:35:00,74.98,74.99,74.96,74.98,1104
2020-01-02 13:40:00,74.981,74.981,74.85,74.85,4930
2020-01-02 13:45:00,74.879,74.879,74.78,74.78,5934
2020-01-02 13:50:00,74.76,74.78,74.64,74.67,2731
2020-01-02 13:55:00,74.654,74.78,74.654,74.75,4109
2020-01-02 14:00:00,74.75,74.77,74.74,74.76,3193
2020-01-02 14:05:00,74.76,74.766,74.7,74.72,1170
2020-01-02 14:10:00,74.7,74.75,74.7,74.73,2916
2020-01-02 14:15:00,74.72,74.73,74.71,74.72,3398
2020-01-02 14:20:00,74.73,74.79,74.73,74.77,10584
2020-01-02 14:25:00,74.77,74.96,74.76,74.955,4444
2020-01-02 14:30:00,74.95,75.0,74.87,74.87,4307
2020-01-02 14:35:00,74.87,74.87,74.84,74.84,927
2020-01-02 14:40:00,74.77,74.905,74.75,74.865,4293
2020-01-02 14:45:00,74.87,74.89,74.84,74.865,1100
2020-01-02 14:50:00,74.87,74.88,74.84,74.84,1686
2020-01-02 14:55:00,74.845,74.92,74.835,74.84,5711
2020-01-02 15:00:00,74.84,74.84,74.76,74.84,2159
2020-01-02 15:05:00,74.82,74.84,74.8,74.82,1796
2020-01-02 15:10:00,74.84,74.87,74.817,74.87,2861
2020-01-02 15:15:00,74.85,74.93,74.84,74.86,2794
2020-01-02 15:20:00,74.88,74.94,74.86,74.935,19271
2020-01-02 15:25:00,74.91,74.91,74.82,74.88,2863
2020-01-02 15:30:00,74.87,74.95,74.84,74.94,6026
2020-01-02 15:35:00,74.95,75.0,74.95,74.955,5923
2020-01-02 15:40:00,74.982,74.983,74.895,74.895,6188
2020-01-02 15:45:00,74.895,74.91,74.8,74.85,7307
2020-01-02 15:50:00,74.885,75.04,74.885,75.035,11764
