Date,Open,High,Low,Close,Volume
2020-01-02 09:30:00,82.0,82.0,81.54,81.625,3810
2020-01-02 09:35:00,81.87,82.07,81.73,81.86,3370
2020-01-02 09:40:00,81.76,81.76,81.7,81.7,200
2020-01-02 09:45:00,81.71,81.71,81.64,81.64,400
2020-01-02 09:50:00,81.72,81.72,81.68,81.68,200
2020-01-02 09:55:00,81.65,81.79,81.55,81.69,2100
2020-01-02 10:00:00,81.64,81.79,81.57,81.79,500
2020-01-02 10:05:00,81.5,81.5,81.46,81.5,500
2020-01-02 10:10:00,81.44,81.44,81.32,81.345,700
2020-01-02 10:15:00,81.27,81.46,81.27,81.46,3500
2020-01-02 10:20:00,81.39,81.39,81.235,81.235,1000
2020-01-02 10:25:00,81.275,81.35,81.245,81.35,700
2020-01-02 10:30:00,81.28,81.592,81.28,81.592,1100
2020-01-02 10:35:00,81.55,81.66,81.445,81.635,3062
2020-01-02 10:40:00,81.65,81.915,81.65,81.915,3400
2020-01-02 10:45:00,81.88,81.93,81.72,81.765,5751
2020-01-02 10:50:00,81.77,82.035,81.77,81.96,7898
2020-01-02 10:55:00,81.98,82.11,81.94,81.995,8210
2020-01-02 11:00:00,82.0,82.0,81.81,81.87,2574
2020-01-02 11:05:00,81.85,81.899,81.78,81.899,2935
2020-01-02 11:10:00,81.88,81.995,81.83,81.94,6500
2020-01-02 11:15:00,81.99,82.02,81.96,81.96,3600
2020-01-02 11:20:00,81.965,82.055,81.78,81.78,2500
2020-01-02 11:25:00,81.73,81.78,81.7,81.75,8281
2020-01-02 11:30:00,81.75,81.75,81.5,81.5,2578
2020-01-02 11:35:00,81.31,81.31,81.25,81.29,1600
2020-01-02 11:40:00,81.29,81.38,81.29,81.34,1500
2020-01-02 11:45:00,81.47,81.47,81.11,81.16,2383
2020-01-02 11:50:00,81.2,81.221,81.11,81.11,883
2020-01-02 11:55:00,81.056,81.056,81.056,81.056,669
2020-01-02 12:00:00,81.1,81.1,80.95,80.95,400
2020-01-02 12:05:00,80.985,81.15,80.95,81.15,2392
2020-01-02 12:15:00,81.07,81.09,81.07,81.09,300
2020-01-02 12:20:00,81.135,81.166,81.13,81.13,329
2020-01-02 12:25:00,81.07,81.11,81.02,81.02,500
2020-01-02 12:30:00,81.0,81.0,80.95,80.95,12278
2020-01-02 12:35:00,80.95,80.95,80.655,80.79,9774
2020-01-02 12:40:00,80.76,80.86,80.76,80.86,300
2020-01-02 12:45:00,80.81,80.81,80.81,80.81,200
2020-01-02 12:50:00,80.955,81.0,80.93,80.95,1256
2020-01-02 12:55:00,81.12,81.12,81.12,81.12,100
2020-01-02 13:00:00,81.28,81.28,81.27,81.27,300
2020-01-02 13:05:00,81.315,81.36,81.315,81.36,500
2020-01-02 13:10:00,81.37,81.38,81.37,81.38,302
2020-01-02 13:15:00,81.43,81.57,81.4,81.57,700
2020-01-02 13:20:00,81.51,81.51,81.45,81.45,200
2020-01-02 13:25:00,81.48,81.48,81.48,81.48,100
2020-01-02 13:30:00,81.46,81.46,81.45,81.46,700
2020-01-02 13:35:00,81.35,81.35,81.35,81.35,200
2020-01-02 13:40:00,81.32,81.37,81.32,81.34,600
2020-01-02 13:45:00,81.331,81.331,81.331,81.331,545
2020-01-02 13:50:00,81.4,81.425,81.4,81.425,500
2020-01-02 13:55:00,81.46,81.63,81.46,81.57,600
2020-01-02 14:00:00,81.58,81.65,81.58,81.64,427
2020-01-02 14:05:00,81.65,81.73,81.613,81.73,482
2020-01-02 14:10:00,81.77,81.77,81.66,81.72,2300
2020-01-02 14:15:00,81.695,81.709,81.57,81.61,1998
2020-01-02 14:20:00,81.58,81.69,81.52,81.69,1500
2020-01-02 14:25:00,81.77,81.77,81.695,81.73,1200
2020-01-02 14:30:00,81.7,81.76,81.7,81.76,500
2020-01-02 14:35:00,81.735,81.735,81.68,81.69,1501
2020-01-02 14:40:00,81.715,81.8,81.71,81.8,1500
2020-01-02 14:45:00,81.85,81.85,81.79,81.81,900
2020-01-02 14:50:00,81.82,81.84,81.69,81.69,1300
2020-01-02 14:55:00,81.65,81.685,81.58,81.64,700
2020-01-02 15:00:00,81.64,81.705,81.64,81.705,500
2020-01-02 15:05:00,81.68,81.69,81.65,81.65,800
2020-01-02 15:10:00,81.68,81.72,81.68,81.69,935
2020-01-02 15:15:00,81.7,81.72,81.54,81.55,1884
2020-01-02 15:20:00,81.585,81.7,81.585,81.67,600
2020-01-02 15:25:00,81.66,81.705,81.655,81.705,1684
2020-01-02 15:30:00,81.705,81.725,81.53,81.53,5074
2020-01-02 15:35:00,81.525,81.597,81.525,81.54,600
2020-01-02 15:40:00,81.53,81.62,81.53,81.62,700
2020-01-02 15:45:00,81.65,81.76,81.63,81.68,3300
2020-01-02 15:50:00,81.745,81.785,81.6,81.71,6776
2020-01-02 15:55:00,81.72,81.72,81.58,81.6,19773
2020-01-02 16:00:00,81.59,81.59,81.59,81.59,33305
2020-01-02 16:15:00,81.59,81.59,81.59,81.59,809
2020-01-03 09:30:00,80.8,80.845,80.29,80.29,3244
2020-01-03 09:35:00,80.75,80.78,80.72,80.72,300
2020-01-03 09:40:00,80.13,80.495,80.05,80.495,1500
2020-01-03 09:45:00,80.84,81.0,80.84,80.995,6600
2020-01-03 09:50:00,80.86,81.0,80.86,81.0,1100
2020-01-03 09:55:00,80.975,81.4,80.94,81.2,1200
2020-01-03 10:00:00,81.2,81.265,81.08,81.11,1300
2020-01-03 10:05:00,81.226,81.48,81.226,81.27,2191
2020-01-03 10:10:00,81.35,81.35,81.18,81.215,2200
2020-01-03 10:15:00,81.215,81.41,81.215,81.29,1300
2020-01-03 10:20:00,81.23,81.316,81.18,81.22,525
2020-01-03 10:25:00,81.33,81.33,81.24,81.24,900
2020-01-03 10:30:00,81.32,81.35,81.32,81.35,200
2020-01-03 10:35:00,81.36,81.415,81.28,81.28,1900
2020-01-03 10:40:00,81.34,81.607,81.34,81.56,900
2020-01-03 10:45:00,81.69,81.69,81.59,81.6,1438
2020-01-03 10:50:00,81.58,81.58,81.53,81.53,400
2020-01-03 10:55:00,81.62,81.62,81.56,81.56,400
2020-01-03 11:00:00,81.62,81.62,81.54,81.54,300
2020-01-03 11:05:00,81.52,81.52,81.37,81.415,1200
2020-01-03 11:10:00,81.47,81.47,81.47,81.47,100
2020-01-03 11:15:00,81.65,81.66,81.54,81.54,2200
2020-01-03 11:20:00,81.44,81.48,81.41,81.44,600
2020-01-03 11:25:00,81.59,81.59,81.59,81.59,100
2020-01-03 11:30:00,81.55,81.55,81.55,81.55,100
2020-01-03 11:35:00,81.54,81.545,81.48,81.545,300
2020-01-03 11:40:00,81.545,81.545,81.311,81.311,1520
2020-01-03 11:45:00,81.45,81.54,81.45,81.53,400
2020-01-03 11:50:00,81.58,81.59,81.53,81.54,1300
2020-01-03 11:55:00,81.685,81.685,81.59,81.59,400
2020-01-03 12:00:00,81.66,81.76,81.66,81.76,986
2020-01-03 12:05:00,81.73,81.88,81.73,81.87,1000
2020-01-03 12:10:00,81.9,81.9,81.87,81.87,745
2020-01-03 12:15:00,81.81,81.81,81.81,81.81,300
2020-01-03 12:20:00,81.84,81.97,81.84,81.97,608
2020-01-03 12:25:00,81.98,82.1,81.98,82.075,1200
2020-01-03 12:30:00,82.05,82.05,81.919,81.919,620
2020-01-03 12:35:00,81.92,81.94,81.92,81.94,200
2020-01-03 12:40:00,82.06,82.06,81.96,81.96,300
2020-01-03 12:45:00,82.03,82.03,81.95,81.95,600
2020-01-03 12:50:00,81.93,81.97,81.89,81.97,1884
2020-01-03 12:55:00,81.97,81.97,81.88,81.88,400
2020-01-03 13:05:00,81.92,81.92,81.87,81.891,616
2020-01-03 13:10:00,81.9,81.95,81.88,81.88,800
2020-01-03 13:15:00,81.86,81.94,81.73,81.73,1230
