Date,Open,High,Low,Close,Volume
2020-01-02 09:30:00,2.04,2.04,2.04,2.04,100
2020-01-02 09:35:00,2.11,2.12,2.11,2.12,300
2020-01-02 09:40:00,2.047,2.047,2.047,2.047,250
2020-01-02 09:50:00,2.07,2.07,2.06,2.06,448
2020-01-02 10:00:00,2.057,2.057,2.041,2.041,450
2020-01-02 10:05:00,2.04,2.04,2.02,2.04,2651
2020-01-02 10:10:00,2.053,2.053,2.053,2.053,150
2020-01-02 10:40:00,2.046,2.046,2.03,2.03,375
2020-01-02 10:45:00,2.03,2.03,2.03,2.03,400
2020-01-02 10:55:00,2.03,2.03,2.03,2.03,400
2020-01-02 11:35:00,2.03,2.03,2.03,2.03,300
2020-01-02 11:45:00,2.05,2.05,2.05,2.05,500
2020-01-02 12:05:00,2.07,2.07,2.07,2.07,553
2020-01-02 12:20:00,2.087,2.087,2.086,2.087,500
2020-01-02 12:25:00,2.086,2.086,2.086,2.086,119
2020-01-02 12:30:00,2.098,2.1,2.098,2.1,1200
2020-01-02 12:50:00,2.11,2.11,2.11,2.11,465
2020-01-02 13:05:00,2.1,2.1,2.1,2.1,100
2020-01-02 13:15:00,2.1,2.12,2.1,2.12,1000
2020-01-02 13:20:00,2.12,2.12,2.09,2.09,614
2020-01-02 13:35:00,2.11,2.12,2.11,2.12,1500
2020-01-02 13:40:00,2.15,2.15,2.15,2.15,200
2020-01-02 14:00:00,2.15,2.15,2.15,2.15,100
2020-01-02 14:25:00,2.21,2.219,2.21,2.21,1082
2020-01-02 14:30:00,2.2,2.2,2.192,2.192,600
2020-01-02 14:35:00,2.18,2.18,2.18,2.18,600
2020-01-02 14:45:00,2.17,2.17,2.17,2.17,300
2020-01-02 15:05:00,2.16,2.16,2.16,2.16,200
2020-01-02 15:15:00,2.16,2.16,2.16,2.16,200
2020-01-02 15:30:00,2.15,2.15,2.15,2.15,1941
2020-01-02 15:40:00,2.15,2.17,2.15,2.17,1600
2020-01-02 15:50:00,2.17,2.17,2.17,2.17,100
2020-01-02 15:55:00,2.165,2.165,2.165,2.165,100
2020-01-03 09:30:00,2.19,2.19,2.19,2.19,544
2020-01-03 09:35:00,2.199,2.199,2.199,2.199,853
2020-01-03 09:40:00,2.15,2.15,2.15,2.15,300
2020-01-03 10:00:00,2.15,2.15,2.15,2.15,3000
2020-01-03 10:05:00,2.197,2.197,2.196,2.197,100
2020-01-03 11:00:00,2.15,2.15,2.14,2.15,2000
2020-01-03 11:05:00,2.16,2.17,2.16,2.169,4028
2020-01-03 11:20:00,2.153,2.153,2.153,2.153,200
2020-01-03 12:25:00,2.16,2.18,2.153,2.18,5000
2020-01-03 12:40:00,2.16,2.16,2.16,2.16,300
2020-01-03 13:10:00,2.17,2.17,2.17,2.17,400
2020-01-03 13:25:00,2.15,2.15,2.15,2.15,300
2020-01-03 14:05:00,2.15,2.16,2.14,2.16,2600
2020-01-03 14:10:00,2.16,2.16,2.16,2.16,100
2020-01-03 15:05:00,2.11,2.114,2.11,2.114,400
2020-01-03 15:40:00,2.16,2.16,2.16,2.16,100
2020-01-03 15:45:00,2.16,2.16,2.16,2.16,100
2020-01-03 15:50:00,2.16,2.16,2.16,2.16,500
2020-01-03 15:55:00,2.17,2.17,2.15,2.17,973
2020-01-03 16:00:00,2.15,2.15,2.15,2.15,667
2020-01-06 09:30:00,2.11,2.11,2.11,2.11,100
2020-01-06 09:40:00,2.15,2.15,2.14,2.14,1500
2020-01-06 09:55:00,2.077,2.15,2.076,2.15,1400
2020-01-06 10:30:00,2.1,2.1,2.1,2.1,100
2020-01-06 10:55:00,2.09,2.09,2.09,2.09,107
2020-01-06 11:15:00,2.105,2.105,2.105,2.105,500
2020-01-06 12:10:00,2.14,2.14,2.14,2.14,200
2020-01-06 12:35:00,2.13,2.14,2.12,2.14,7312
2020-01-06 12:40:00,2.12,2.12,2.12,2.12,200
2020-01-06 12:50:00,2.123,2.123,2.12,2.12,1200
2020-01-06 13:00:00,2.13,2.17,2.13,2.17,900
2020-01-06 13:45:00,2.14,2.14,2.14,2.14,993
2020-01-06 14:20:00,2.14,2.14,2.14,2.14,500
2020-01-06 14:30:00,2.127,2.127,2.127,2.127,100
2020-01-06 15:10:00,2.14,2.14,2.14,2.14,200
2020-01-06 15:15:00,2.14,2.14,2.14,2.14,100
2020-01-06 15:25:00,2.12,2.121,2.12,2.12,4314
2020-01-06 15:35:00,2.14,2.14,2.14,2.14,200
2020-01-06 15:40:00,2.14,2.14,2.14,2.14,400
2020-01-06 15:55:00,2.14,2.14,2.14,2.14,100
2020-01-07 09:30:00,2.1,2.11,2.1,2.11,1700
2020-01-07 09:40:00,2.12,2.12,2.12,2.12,100
2020-01-07 09:55:00,2.13,2.15,2.13,2.15,4029
2020-01-07 10:15:00,2.16,2.16,2.16,2.16,500
2020-01-07 10:20:00,2.14,2.19,2.14,2.19,2900
2020-01-07 10:25:00,2.13,2.147,2.13,2.13,5900
2020-01-07 10:30:00,2.13,2.138,2.13,2.138,6850
2020-01-07 10:50:00,2.119,2.119,2.119,2.119,220
2020-01-07 11:30:00,2.13,2.13,2.06,2.06,9900
2020-01-07 12:30:00,2.11,2.11,2.11,2.11,200
