Date,Open,High,Low,Close,Volume
2020-01-02 09:30:00,1.6,1.652,1.6,1.652,992
2020-01-02 10:40:00,1.666,1.666,1.666,1.666,100
2020-01-02 11:20:00,1.668,1.668,1.668,1.668,100
2020-01-02 11:55:00,1.69,1.7,1.687,1.697,2000
2020-01-02 12:05:00,1.7,1.755,1.7,1.7,2129
2020-01-02 13:00:00,1.67,1.67,1.67,1.67,100
2020-01-02 14:15:00,1.76,1.76,1.76,1.76,100
2020-01-03 09:45:00,1.74,1.74,1.74,1.74,1492
2020-01-03 09:50:00,1.743,1.743,1.743,1.743,700
2020-01-03 09:55:00,1.74,1.74,1.74,1.74,700
2020-01-03 10:05:00,1.74,1.74,1.7,1.7,560
2020-01-03 10:15:00,1.7,1.7,1.7,1.7,6000
2020-01-03 11:35:00,1.7,1.7,1.7,1.7,400
2020-01-03 12:45:00,1.7,1.7,1.7,1.7,1500
2020-01-03 12:55:00,1.7,1.7,1.7,1.7,500
2020-01-03 13:00:00,1.7,1.7,1.7,1.7,1000
2020-01-03 13:30:00,1.696,1.696,1.696,1.696,200
2020-01-03 14:15:00,1.682,1.683,1.682,1.682,170
2020-01-03 16:00:00,1.68,1.68,1.68,1.68,294
2020-01-06 09:30:00,1.63,1.63,1.63,1.63,4112
2020-01-06 09:35:00,1.712,1.712,1.712,1.712,400
2020-01-06 11:05:00,1.713,1.713,1.713,1.713,300
2020-01-06 14:00:00,1.703,1.703,1.701,1.701,200
2020-01-06 15:05:00,1.67,1.7,1.67,1.7,3000
2020-01-06 15:10:00,1.693,1.7,1.692,1.7,4000
2020-01-06 15:15:00,1.694,1.694,1.693,1.693,2000
2020-01-06 15:20:00,1.675,1.7,1.675,1.7,700
2020-01-06 15:25:00,1.706,1.706,1.706,1.706,800
2020-01-06 15:30:00,1.7,1.7,1.7,1.7,1400
2020-01-06 15:40:00,1.73,1.73,1.68,1.7,400
2020-01-06 15:45:00,1.73,1.73,1.73,1.73,100
2020-01-06 15:50:00,1.66,1.735,1.66,1.734,600
